movieId,title,year,duration,certification,rating,reviews
0116282,Fargo,1996,1h 38m,A,8.1,714K
1291584,Warrior,2011,2h 20m,UA,8.1,492K
4729430,Klaus,2019,1h 36m,7,8.2,184K
0264464,Catch Me If You Can,2002,2h 21m,A,8.1,1.1M
1205489,Gran Torino,2008,1h 56m,UA,8.1,807K
0096283,My Neighbour Totoro,1988,1h 26m,U,8.1,370K
0405159,Million Dollar Baby,2004,2h 12m,UA,8.1,714K
1201607,Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,UA,8.1,933K
0118849,Bacheha-Ye Aseman,1997,1h 29m,PG,8.2,79K
0083658,Blade Runner,1982,1h 57m,UA,8.1,812K
2024544,12 Years a Slave,2013,2h 14m,A,8.1,733K
0112471,Before Sunrise,1995,1h 41m,16,8.1,333K
2278388,The Grand Budapest Hotel,2014,1h 39m,UA,8.1,872K
0052618,Ben-Hur,1959,3h 32m,U,8.1,251K
0072684,Barry Lyndon,1975,3h 5m,U,8.1,180K
2267998,Gone Girl,2014,2h 29m,A,8.1,1M
0015864,The Gold Rush,1925,1h 35m,Passed,8.1,117K
2119532,Hacksaw Ridge,2016,2h 19m,A,8.1,580K
0107207,In the Name of the Father,1993,2h 13m,UA,8.1,185K
0353969,Salinui Chueok,2003,2h 11m,UA,8.1,209K
0047296,On the Waterfront,1954,1h 48m,A,8.1,163K
0017925,The General,1926,1h 18m,Passed,8.1,97K
0077416,The Deer Hunter,1978,3h 3m,A,8.1,358K
0097165,Dead Poets Society,1989,2h 8m,U,8.1,533K
3011894,Relatos Salvajes,2014,2h 2m,18,8.1,213K
1392190,Mad Max: Fury Road,2015,2h,UA,8.1,1.1M
0050986,Smultronstället,1957,1h 31m,U,8.1,113K
0041959,The Third Man,1949,1h 44m,U,8.1,180K
0046268,Le Salaire De La Peur,1953,2h 11m,U,8.2,65K
0015324,Sherlock Jr.,1924,45m,Passed,8.2,55K
0198781,"Monsters, Inc.",2001,1h 32m,U,8.1,964K
0073195,Jaws,1975,2h 4m,A,8.1,650K
0031679,Mr. Smith Goes to Washington,1939,2h 9m,U,8.1,120K
0892769,How to Train Your Dragon,2010,1h 38m,U,8.1,787K
0978762,Mary and Max,2009,1h 32m,U,8.1,185K
1950186,Ford v. Ferrari,2019,2h 32m,UA,8.1,451K
0382932,Ratatouille,2007,1h 51m,U,8.1,805K
0050976,Det Sjunde Inseglet,1957,1h 36m,A,8.1,196K
3170832,Room,2015,1h 58m,U,8.1,444K
